rank;actividad;importe;movimientos
338;ELECTRODOMESTICOS NIVEL 5;232;3
339;FOTOGRAFIA NIVEL 2;223;4
340;BAKERIES;214;4
341;HAMPTON INNS;213;1
342;SERVICIO TRAFICO TELEFONICO;213;8
343;TAJ HOTELS INT'L;211;2
344;AUMAR;205;36
345;CIVIL, SOCIAL & FRATERNAL ASSOCIATIONS;202;1
346;PROMOD ESPA#A;201;3
347;BRITISH MIDLAND;201;2
348;G. SUPERFICIES JUGUETES Y NIVEL 4;190;4
349;CP HOTELS;190;1
350;SOFITEL HOTELS;187;2
351;FORUN SPORT;183;2
352;AGRICULTURAL COOPERATIVES;183;1
353;JOLLY HOTELS;179;1
354;AHORRAMAS;175;2
355;AITOPISTAS TERMINAL NIVEL 4;173;47
356;SEGUROS(COMPAðIAS DE );171;5
357;FERRETERIA BRICOLAJE N-4;167;1
358;HOTELES 4/5 ESTR NIVEL5;160;2
359;OPTOMETRIST, OPTHAMOLOGISTS;160;2
360;COMMERCIAL FOOTWEAR;159;1
361;AQUARIUMS, SEAQUARIUMS & DOLPHINNARIUMS;157;2
362;LECLERC;157;2
363;MAKRO GASOLINERAS;150;3
364;MOVISTAR RECARGAS;145;7
365;RECORD SHOPS;140;5
366;PATRIMONIO NACIONAL;140;3
367;MANGO FRANQUICIAS;134;1
368;MOBILE HOME DEALERS;130;2
369;HILTON INTERNATIONAL;116;1
370;DOCTORS-NOT ELSEWHERE CLASSIFIELD;114;1
371;WORTEN;111;1
372;LIBROS, DICOS Y CD'S (T.N.A.);111;1
373;MATERIALES DE CONSTRU NIVEL 4;108;1
374;BILTMORE HOTELS&SUITES;106;1
375;CAFETERIAS, SNACKS NIVEL 2;105;2
376;SABA_TNA;104;16
377;MERIDIEN HOTELS;102;1
378;C & A;101;2
379;HOTELES RESTO NIVEL 4;98;1
380;SCHOOL,STATIONERY & OFFICE SUPLY STORES;95;2
381;VENTA POR CORRESPONDENCIA;95;1
382;VIDEO AMUSEMENT GAME SUPPLIES;94;1
383;TACA INTERNATIONAL;89;1
384;VENTA A BORDO NIVEL 4;89;1
385;ALQUILER DE AUTOMOVILES NIVEL 3;89;3
386;TRANSPORTE DE VIAJEROS;86;6
387;CONFECCION TEXTIL NIVEL 5;82;2
388;RENFE (TERMINALES NO ATENDIDOS);80;1
389;ITINERE;79;14
390;VIVARTE;78;1
391;LAUNDRY, CLEANING & GARMENT SERVICES;77;1
392;PENINSULA HOTEL;77;1
393;LIDL;76;2
394;ANTIQUE REPRODUCTION STORES;74;1
395;PIMKIE;68;2
396;EMISION DE CERTIFICADOS OFICIALES(T.N.A.;66;1
397;CLOTHING RENTAL - COSTUMES/UNIFORMS;65;1
398;AMUSEMENT PARKS, CIRCUSES, CARNIVALS;64;2
399;JUGUETES Y DEPORTES NIVEL 2;62;1
400;CONSTRUCTION MATERIALS, NOT ELSEWHERE CL;62;1
401;ORTHOPEDIC GOODS - ARTIFICIAL LIMB STORE;61;1
402;PIEL EXCLUIDO PELETERIA NIVEL 3;60;1
403;CASAS DE CAMBIO;59;1
404;MUSEOS NIVEL 2;51;1
405;STATIONERY,OFFICE SUPPLIES, PRINTING;50;2
406;PELUQUERIAS NIVEL 2;48;1
407;FERROCARRILES DE CER N4;46;1
408;BLANCO;45;1
409;AMERISUITES;45;3
410;G.SUPERFICIES DE FERRETERIA Y BRICOLAJE;44;1
411;CONCORDE HOTELS;44;1
412;TRANS.DE VIAJEROS;43;1
413;PHOTOGRAPHIC STUDIOS, PORTRAITS;42;1
414;APARCAMIENTO Y MANTEN.DE AERONAVES;41;5
415;ORANGE V EQUIPOS;40;1
416;DROGUERIAS PERFUMERIAS NIVEL 4;39;1
417;SERVITICKET;39;1
418;NEW YORK-NEW YORK HOTEL + CASINO;39;1
419;PETROLEUM;38;1
420;HEATING,PLUMBING,AIR CONDITIONING;38;2
421;INFORMATION RETRIEVAL SERVICES;34;1
422;MARROQUINERIA ART. VIAJES NIVEL 2;30;1
423;COMMERCIAL PHOTOGRAPHY, ART & GRAPHICS;29;1
424;BEST WESTERN;29;1
425;PRIMARK;25;1
426;GRUPO ACCOR/WAGONS LITS;22;2
427;CAESAR'S HOTEL AND CASINO;20;1
428;VODAFONE VENTA DE RECARGAS;20;1
429;TIENDAS AURGI;18;1
430;DONACIONES BENEFICAS;17;1
431;AUTOMOBILE & TRUCK DEALERS SALES, ...;14;3
432;SUMINISTROS;12;1
433;COMERCIO ELECTRONICO NIVEL 3;12;1
434;CASINO DE MADRID;10;1
435;SERVICIOS ORGANISMOS PUBLICOS NIVEL 3;9;2
436;TRANSAERO;7;1
437;CAFETERIA NIVEL 4;6;1
438;LOEWS HOTELS;5;3
439;PAGO DE TRIBUTOS Y TASAS A ESTAMENTOS;2;1
440;RECARGA/VTA TARJETA PREPAGO EN COMERCIOS;0;4
441;TAP PORTUGAL;0;4
442;3 C COMUNICATIONS;-202;3
443;;-45860;19
